"Indexcd","Idxtrd01","Idxtrd08"
"000300","2016-05-03","1.799200"
"000300","2016-05-04","-0.126900"
"000300","2016-05-05","0.138900"
"000300","2016-05-06","-2.600100"
"000300","2016-05-09","-2.068100"
"000300","2016-05-10","0.114100"
"000300","2016-05-11","0.446300"
"000300","2016-05-12","0.237700"
"000300","2016-05-13","-0.492000"
"000300","2016-05-16","0.662600"
"000300","2016-05-17","-0.299900"
"000300","2016-05-18","-0.582900"
"000300","2016-05-19","-0.180400"
"000300","2016-05-20","0.513200"
"000300","2016-05-23","0.292500"
"000300","2016-05-24","-0.766600"
"000300","2016-05-25","-0.141300"
"000300","2016-05-26","0.162900"
"000300","2016-05-27","-0.055900"
"000300","2016-05-30","0.137500"
"000300","2016-05-31","3.353800"
"000300","2016-06-01","-0.284400"
"000300","2016-06-02","0.207300"
"000300","2016-06-03","0.701800"
"000300","2016-06-06","-0.330400"
"000300","2016-06-07","-0.054500"
"000300","2016-06-08","-0.411300"
"000300","2016-06-13","-3.086100"
"000300","2016-06-14","0.314400"
"000300","2016-06-15","1.312900"
"000300","2016-06-16","-0.696100"
"000300","2016-06-17","0.506700"
"000300","2016-06-20","0.074500"
"000300","2016-06-21","-0.204200"
"000300","2016-06-22","0.889900"
"000300","2016-06-23","-0.531100"
"000300","2016-06-24","-1.288400"
"000300","2016-06-27","1.410000"
"000300","2016-06-28","0.508100"
"000300","2016-06-29","0.477900"
"000300","2016-06-30","0.080300"
"000300","2016-07-01","0.008800"
"000300","2016-07-04","1.600900"
"000300","2016-07-05","0.083800"
"000300","2016-07-06","0.293700"
"000300","2016-07-07","-0.212900"
"000300","2016-07-08","-0.550600"
"000300","2016-07-11","0.346100"
"000300","2016-07-12","2.180600"
"000300","2016-07-13","0.295900"
"000300","2016-07-14","-0.185900"
"000300","2016-07-15","-0.014800"
"000300","2016-07-18","-0.435100"
"000300","2016-07-19","-0.422700"
"000300","2016-07-20","-0.327200"
"000300","2016-07-21","0.460800"
"000300","2016-07-22","-0.841200"
"000300","2016-07-25","0.177400"
"000300","2016-07-26","1.197900"
"000300","2016-07-27","-1.570400"
"000300","2016-07-28","0.089900"
"000300","2016-07-29","-0.534200"
"000300","2016-08-01","-0.846500"
"000300","2016-08-02","0.385400"
"000300","2016-08-03","0.139700"
"000300","2016-08-04","0.243700"
"000300","2016-08-05","0.119400"
"000300","2016-08-08","0.907100"
"000300","2016-08-09","0.704900"
"000300","2016-08-10","-0.418800"
"000300","2016-08-11","-0.307700"
"000300","2016-08-12","1.882700"
"000300","2016-08-15","3.011000"
"000300","2016-08-16","-0.447300"
"000300","2016-08-17","-0.153800"
"000300","2016-08-18","-0.253900"
"000300","2016-08-19","0.015900"
"000300","2016-08-22","-0.838800"
"000300","2016-08-23","0.150900"
"000300","2016-08-24","-0.358100"
"000300","2016-08-25","-0.627400"
"000300","2016-08-26","-0.056900"
"000300","2016-08-29","0.020900"
"000300","2016-08-30","0.127200"
"000300","2016-08-31","0.477300"
"000300","2016-09-01","-0.787800"
"000300","2016-09-02","0.379700"
"000300","2016-09-05","0.167900"
"000300","2016-09-06","0.691200"
"000300","2016-09-07","-0.054100"
"000300","2016-09-08","-0.037500"
"000300","2016-09-09","-0.644400"
"000300","2016-09-12","-1.670900"
"000300","2016-09-13","-0.069600"
"000300","2016-09-14","-0.662600"
"000300","2016-09-19","0.753200"
"000300","2016-09-20","-0.175300"
"000300","2016-09-21","0.283400"
"000300","2016-09-22","0.749500"
"000300","2016-09-23","-0.469600"
"000300","2016-09-26","-1.690700"
"000300","2016-09-27","0.635700"
"000300","2016-09-28","-0.304400"
"000300","2016-09-29","0.417700"
"000300","2016-09-30","0.274300"
"000300","2016-10-10","1.247500"
"000300","2016-10-11","0.385200"
"000300","2016-10-12","-0.198000"
"000300","2016-10-13","0.079900"
"000300","2016-10-14","0.097000"
"000300","2016-10-17","-0.846000"
"000300","2016-10-18","1.325600"
"000300","2016-10-19","-0.153300"
"000300","2016-10-20","0.071300"
"000300","2016-10-21","0.275300"
"000300","2016-10-24","1.197100"
"000300","2016-10-25","-0.003700"
"000300","2016-10-26","-0.375800"
"000300","2016-10-27","-0.271400"
"000300","2016-10-28","-0.166500"
"000300","2016-10-31","-0.115200"
"000300","2016-11-01","0.682600"
"000300","2016-11-02","-0.765100"
"000300","2016-11-03","0.952000"
"000300","2016-11-04","-0.324200"
"000300","2016-11-07","0.072100"
"000300","2016-11-08","0.432800"
"000300","2016-11-09","-0.535800"
"000300","2016-11-10","1.120100"
"000300","2016-11-11","0.784800"
"000300","2016-11-14","0.381200"
"000300","2016-11-15","-0.011000"
"000300","2016-11-16","-0.008100"
"000300","2016-11-17","0.202400"
"000300","2016-11-18","-0.555200"
"000300","2016-11-21","0.692200"
"000300","2016-11-22","0.792000"
"000300","2016-11-23","0.183500"
"000300","2016-11-24","0.403200"
"000300","2016-11-25","0.933200"
"000300","2016-11-28","0.391400"
"000300","2016-11-29","0.819200"
"000300","2016-11-30","-0.730600"
"000300","2016-12-01","0.764100"
"000300","2016-12-02","-1.012100"
"000300","2016-12-05","-1.687400"
"000300","2016-12-06","-0.295600"
"000300","2016-12-07","0.479700"
"000300","2016-12-08","-0.161200"
"000300","2016-12-09","0.678800"
"000300","2016-12-12","-2.419200"
"000300","2016-12-13","-0.121500"
"000300","2016-12-14","-0.766200"
"000300","2016-12-15","-1.139700"
"000300","2016-12-16","0.167600"
"000300","2016-12-19","-0.509500"
"000300","2016-12-20","-0.598400"
"000300","2016-12-21","0.890600"
"000300","2016-12-22","-0.085800"
"000300","2016-12-23","-0.841600"
"000300","2016-12-26","0.447500"
"000300","2016-12-27","-0.181100"
"000300","2016-12-28","-0.437100"
"000300","2016-12-29","-0.124900"
"000300","2016-12-30","0.373500"
"000300","2017-01-03","0.971200"
"000300","2017-01-04","0.780500"
"000300","2017-01-05","-0.015500"
"000300","2017-01-06","-0.597500"
"000300","2017-01-09","0.484900"
"000300","2017-01-10","-0.167300"
"000300","2017-01-11","-0.708000"
"000300","2017-01-12","-0.506000"
"000300","2017-01-13","0.069000"
"000300","2017-01-16","-0.014000"
"000300","2017-01-17","0.208200"
"000300","2017-01-18","0.391100"
"000300","2017-01-19","-0.301700"
"000300","2017-01-20","0.768900"
"000300","2017-01-23","0.274000"
"000300","2017-01-24","0.011000"
"000300","2017-01-25","0.340400"
"000300","2017-01-26","0.357100"
"000300","2017-02-03","-0.692700"
"000300","2017-02-06","0.259000"
"000300","2017-02-07","-0.222900"
"000300","2017-02-08","0.523000"
"000300","2017-02-09","0.384400"
"000300","2017-02-10","0.506300"
"000300","2017-02-13","0.667600"
"000300","2017-02-14","-0.013700"
"000300","2017-02-15","-0.410100"
"000300","2017-02-16","0.561700"
"000300","2017-02-17","-0.566400"
"000300","2017-02-20","1.459900"
"000300","2017-02-21","0.329300"
"000300","2017-02-22","0.199100"
"000300","2017-02-23","-0.470900"
"000300","2017-02-24","0.015200"
"000300","2017-02-27","-0.795300"
"000300","2017-02-28","0.191100"
"000300","2017-03-01","0.163000"
"000300","2017-03-02","-0.674900"
"000300","2017-03-03","-0.210600"
"000300","2017-03-06","0.543200"
"000300","2017-03-07","0.216800"
"000300","2017-03-08","-0.151300"
"000300","2017-03-09","-0.631700"
"000300","2017-03-10","0.027700"
"000300","2017-03-13","0.881200"
"000300","2017-03-14","-0.040600"
"000300","2017-03-15","0.201100"
"000300","2017-03-16","0.515700"
"000300","2017-03-17","-1.025500"
"000300","2017-03-20","0.110500"
"000300","2017-03-21","0.485100"
"000300","2017-03-22","-0.470100"
"000300","2017-03-23","0.345700"
"000300","2017-03-24","0.797900"
"000300","2017-03-27","-0.331300"
"000300","2017-03-28","-0.236600"
"000300","2017-03-29","-0.133000"
"000300","2017-03-30","-0.820600"
"000300","2017-03-31","0.561200"
"000300","2017-04-05","1.384400"
"000300","2017-04-06","0.289800"
"000300","2017-04-07","0.097200"
"000300","2017-04-10","-0.350400"
"000300","2017-04-11","0.347700"
"000300","2017-04-12","-0.224300"
"000300","2017-04-13","0.146100"
"000300","2017-04-14","-0.798400"
"000300","2017-04-17","-0.188200"
"000300","2017-04-18","-0.494200"
"000300","2017-04-19","-0.487100"
"000300","2017-04-20","0.454800"
"000300","2017-04-21","0.151300"
"000300","2017-04-24","-1.024800"
"000300","2017-04-25","0.283100"
"000300","2017-04-26","0.122300"
"000300","2017-04-27","0.044600"
"000300","2017-04-28","-0.202100"
"000300","2017-05-02","-0.383100"
"000300","2017-05-03","-0.392500"
"000300","2017-05-04","-0.256100"
"000300","2017-05-05","-0.641400"
"000300","2017-05-08","-0.701700"
"000300","2017-05-09","-0.187000"
"000300","2017-05-10","-0.442400"
"000300","2017-05-11","0.567600"
"000300","2017-05-12","0.856000"
"000300","2017-05-15","0.408100"
"000300","2017-05-16","0.866500"
"000300","2017-05-17","-0.544900"
"000300","2017-05-18","-0.347600"
"000300","2017-05-19","0.168800"
"000300","2017-05-22","0.217100"
"000300","2017-05-23","0.379800"
"000300","2017-05-24","-0.000800"
"000300","2017-05-25","1.795800"
"000300","2017-05-26","-0.149800"
"000300","2017-05-31","0.357700"
"000300","2017-06-01","0.138900"
"000300","2017-06-02","-0.321100"
"000300","2017-06-05","-0.509200"
"000300","2017-06-06","0.695600"
"000300","2017-06-07","1.173500"
"000300","2017-06-08","0.767100"
"000300","2017-06-09","0.426600"
"000300","2017-06-12","-0.049800"
"000300","2017-06-13","0.220400"
"000300","2017-06-14","-1.311100"
"000300","2017-06-15","-0.184000"
"000300","2017-06-16","-0.284300"
"000300","2017-06-19","0.991900"
"000300","2017-06-20","-0.201800"
"000300","2017-06-21","1.169100"
"000300","2017-06-22","0.066600"
"000300","2017-06-23","0.906300"
"000300","2017-06-26","1.247900"
"000300","2017-06-27","0.180600"
"000300","2017-06-28","-0.776900"
"000300","2017-06-29","0.621500"
"000300","2017-06-30","-0.055300"
"000300","2017-07-03","-0.435000"
"000300","2017-07-04","-0.845300"
"000300","2017-07-05","1.096600"
"000300","2017-07-06","0.011400"
"000300","2017-07-07","-0.113900"
"000300","2017-07-10","-0.061300"
"000300","2017-07-11","0.468600"
"000300","2017-07-12","-0.326500"
"000300","2017-07-13","0.767900"
"000300","2017-07-14","0.438700"
"000300","2017-07-17","-1.067600"
"000300","2017-07-18","0.098900"
"000300","2017-07-19","1.706100"
"000300","2017-07-20","0.486300"
"000300","2017-07-21","-0.514600"
"000300","2017-07-24","0.398800"
"000300","2017-07-25","-0.638700"
"000300","2017-07-26","-0.381000"
"000300","2017-07-27","0.183700"
"000300","2017-07-28","0.261200"
"000300","2017-07-31","0.429400"
"000300","2017-08-01","0.869700"
"000300","2017-08-02","-0.252800"
"000300","2017-08-03","-0.878200"
"000300","2017-08-04","-0.543100"
