"Indexcd","Idxtrd01","Idxtrd08"
"000300","2005-01-04","-1.720600"
"000300","2005-01-05","0.994100"
"000300","2005-01-06","-0.946000"
"000300","2005-01-07","0.079700"
"000300","2005-01-10","1.008300"
"000300","2005-01-11","0.327600"
"000300","2005-01-12","-0.038800"
"000300","2005-01-13","0.012900"
"000300","2005-01-14","-0.859800"
"000300","2005-01-17","-2.110100"
"000300","2005-01-18","0.748000"
"000300","2005-01-19","-0.767300"
"000300","2005-01-20","-1.133700"
"000300","2005-01-21","2.756500"
"000300","2005-01-24","1.580400"
"000300","2005-01-25","-0.035900"
"000300","2005-01-26","-0.786400"
"000300","2005-01-27","-1.545300"
"000300","2005-01-28","-0.556300"
"000300","2005-01-31","-1.478500"
"000300","2005-02-01","0.112300"
"000300","2005-02-02","5.331000"
"000300","2005-02-03","-1.360400"
"000300","2005-02-04","2.380500"
"000300","2005-02-16","0.661400"
"000300","2005-02-17","-0.290900"
"000300","2005-02-18","-1.425700"
"000300","2005-02-21","1.946000"
"000300","2005-02-22","2.058300"
"000300","2005-02-23","-0.267500"
"000300","2005-02-24","0.145200"
"000300","2005-02-25","0.124400"
"000300","2005-02-28","-0.646900"
"000300","2005-03-01","-0.389900"
"000300","2005-03-02","-1.410700"
"000300","2005-03-03","0.625700"
"000300","2005-03-04","-0.393400"
"000300","2005-03-07","0.606100"
"000300","2005-03-08","1.856200"
"000300","2005-03-09","-0.232900"
"000300","2005-03-10","-2.305800"
"000300","2005-03-11","0.490600"
"000300","2005-03-14","0.350100"
"000300","2005-03-15","-1.697600"
"000300","2005-03-16","-1.031800"
"000300","2005-03-17","-1.017100"
"000300","2005-03-18","-1.430000"
"000300","2005-03-21","0.329800"
"000300","2005-03-22","-1.819900"
"000300","2005-03-23","-0.520100"
"000300","2005-03-24","0.603900"
"000300","2005-03-25","-0.191300"
"000300","2005-03-28","-0.234600"
"000300","2005-03-29","-0.573100"
"000300","2005-03-30","-1.900800"
"000300","2005-03-31","0.551600"
"000300","2005-04-01","3.814700"
"000300","2005-04-04","-1.633400"
"000300","2005-04-05","-0.682800"
"000300","2005-04-06","1.891000"
"000300","2005-04-07","1.136400"
"000300","2005-04-08",""
"000300","2005-04-11","-0.800200"
"000300","2005-04-12","-1.679700"
"000300","2005-04-13","2.268300"
"000300","2005-04-14","-1.390700"
"000300","2005-04-15","-1.307000"
