"Indexcd","Idxtrd01","Idxtrd08"
"000300","2020-05-06","0.605200"
"000300","2020-05-07","-0.288600"
"000300","2020-05-08","0.986700"
"000300","2020-05-11","-0.086800"
"000300","2020-05-12","0.001500"
"000300","2020-05-13","0.202400"
"000300","2020-05-14","-1.084500"
"000300","2020-05-15","-0.316000"
"000300","2020-05-18","0.258000"
"000300","2020-05-19","0.849800"
"000300","2020-05-20","-0.531500"
"000300","2020-05-21","-0.544500"
"000300","2020-05-22","-2.292700"
"000300","2020-05-25","0.137600"
"000300","2020-05-26","1.134500"
"000300","2020-05-27","-0.701200"
"000300","2020-05-28","0.286500"
"000300","2020-05-29","0.269400"
"000300","2020-06-01","2.697600"
"000300","2020-06-02","0.307900"
"000300","2020-06-03","0.002000"
"000300","2020-06-04","-0.036700"
"000300","2020-06-05","0.478800"
"000300","2020-06-08","0.517400"
"000300","2020-06-09","0.623400"
"000300","2020-06-10","-0.181000"
"000300","2020-06-11","-1.084700"
"000300","2020-06-12","0.180100"
"000300","2020-06-15","-1.201400"
"000300","2020-06-16","1.506500"
"000300","2020-06-17","0.075300"
"000300","2020-06-18","0.666800"
"000300","2020-06-19","1.343200"
"000300","2020-06-22","0.081400"
"000300","2020-06-23","0.481400"
"000300","2020-06-24","0.417200"
"000300","2020-06-29","-0.707300"
"000300","2020-06-30","1.320000"
"000300","2020-07-01","2.013000"
"000300","2020-07-02","2.073100"
"000300","2020-07-03","1.931600"
"000300","2020-07-06","5.667900"
"000300","2020-07-07","0.600200"
"000300","2020-07-08","1.615100"
"000300","2020-07-09","1.398600"
"000300","2020-07-10","-1.810400"
"000300","2020-07-13","2.100300"
"000300","2020-07-14","-0.953500"
"000300","2020-07-15","-1.294500"
"000300","2020-07-16","-4.810100"
"000300","2020-07-17","0.629900"
"000300","2020-07-20","2.983800"
"000300","2020-07-21","0.229400"
"000300","2020-07-22","0.498900"
"000300","2020-07-23","-0.042600"
"000300","2020-07-24","-4.389300"
"000300","2020-07-27","0.507300"
"000300","2020-07-28","0.879100"
"000300","2020-07-29","2.424300"
"000300","2020-07-30","-0.488500"
"000300","2020-07-31","0.835300"
"000300","2020-08-03","1.624400"
"000300","2020-08-04","0.094100"
"000300","2020-08-05","0.027400"
"000300","2020-08-06","-0.300300"
"000300","2020-08-07","-1.151400"
"000300","2020-08-10","0.359900"
"000300","2020-08-11","-0.911900"
"000300","2020-08-12","-0.729200"
"000300","2020-08-13","-0.256700"
"000300","2020-08-14","1.486600"
"000300","2020-08-17","2.350800"
"000300","2020-08-18","-0.051300"
"000300","2020-08-19","-1.497600"
"000300","2020-08-20","-1.297800"
"000300","2020-08-21","0.848200"
"000300","2020-08-24","0.784200"
"000300","2020-08-25","0.128300"
"000300","2020-08-26","-1.172200"
"000300","2020-08-27","0.535800"
"000300","2020-08-28","2.386600"
"000300","2020-08-31","-0.579000"
"000300","2020-09-01","0.537900"
"000300","2020-09-02","0.036500"
"000300","2020-09-03","-0.553100"
"000300","2020-09-04","-0.973100"
"000300","2020-09-07","-2.114200"
"000300","2020-09-08","0.535900"
"000300","2020-09-09","-2.339000"
"000300","2020-09-10","-0.057000"
"000300","2020-09-11","0.988800"
"000300","2020-09-14","0.513600"
"000300","2020-09-15","0.804800"
"000300","2020-09-16","-0.663900"
"000300","2020-09-17","-0.529100"
"000300","2020-09-18","2.253000"
"000300","2020-09-21","-0.963900"
"000300","2020-09-22","-1.186600"
"000300","2020-09-23","0.357400"
"000300","2020-09-24","-1.918600"
"000300","2020-09-25","0.152400"
"000300","2020-09-28","0.260100"
"000300","2020-09-29","0.215800"
"000300","2020-09-30","-0.095900"
"000300","2020-10-09","2.043600"
"000300","2020-10-12","3.033800"
"000300","2020-10-13","0.332600"
"000300","2020-10-14","-0.663300"
"000300","2020-10-15","-0.174000"
"000300","2020-10-16","-0.147100"
"000300","2020-10-19","-0.755200"
"000300","2020-10-20","0.798600"
"000300","2020-10-21","-0.013300"
"000300","2020-10-22","-0.309700"
"000300","2020-10-23","-1.245200"
"000300","2020-10-26","-0.577600"
"000300","2020-10-27","0.171400"
"000300","2020-10-28","0.808500"
"000300","2020-10-29","0.752500"
"000300","2020-10-30","-1.625500"
"000300","2020-11-02","0.543000"
"000300","2020-11-03","1.201700"
"000300","2020-11-04","0.755500"
"000300","2020-11-05","1.484400"
"000300","2020-11-06","0.012400"
"000300","2020-11-09","1.957400"
